vehicle_class,engine_size,cylinders,fuel_type,fuel_cons_city,fuel_cons_hwy,fuel_cons_comb,fuel_cons_comb_mpg,co2
PICKUP TRUCK - STANDARD,5.3,8,Regular gasoline,14.6,10.3,12.7,22.0,298.0
MID-SIZE,2.4,4,Regular gasoline,9.1,6.8,8.0,35.0,187.0
PICKUP TRUCK - SMALL,3.6,6,Regular gasoline,13.0,9.2,11.3,25.0,265.0
MID-SIZE,2.0,4,Premium gasoline,10.5,7.6,9.2,31.0,215.0
MID-SIZE,2.0,4,Diesel,7.8,5.3,6.7,42.0,182.0
FULL-SIZE,4.7,8,Premium gasoline,14.8,9.8,12.5,23.0,288.0
TWO-SEATER,2.7,6,Premium gasoline,11.5,7.9,9.9,29.0,232.0
SUV - SMALL,2.4,4,Regular gasoline,8.6,6.9,7.8,36.0,179.0
COMPACT,2.0,4,Regular gasoline,8.7,7.5,8.2,34.0,189.0
FULL-SIZE,3.6,6,Regular gasoline,12.5,8.2,10.6,27.0,244.0
SUBCOMPACT,1.6,4,Premium gasoline,8.6,6.8,7.8,36.0,179.0
SUBCOMPACT,2.0,4,Premium gasoline,10.1,7.0,8.7,32.0,204.0
SUBCOMPACT,2.0,4,Premium gasoline,10.2,7.2,8.9,32.0,208.0
FULL-SIZE,4.0,8,Premium gasoline,15.1,9.1,12.4,23.0,290.0
TWO-SEATER,6.5,12,Premium gasoline,24.0,14.5,19.7,14.0,453.0
MID-SIZE,3.7,6,Premium gasoline,13.2,9.8,11.7,24.0,274.0
MID-SIZE,3.6,6,Regular gasoline,12.2,8.6,10.6,27.0,248.0
SUV - SMALL,1.6,4,Regular gasoline,10.5,7.9,9.4,30.0,220.0
TWO-SEATER,6.2,8,Premium gasoline,17.2,10.1,14.0,20.0,331.0
MID-SIZE,3.5,6,Regular gasoline,10.3,7.4,9.0,31.0,207.0
STATION WAGON - MID-SIZE,3.5,6,Regular gasoline,11.2,8.3,9.9,29.0,228.0
MID-SIZE,2.0,4,Premium gasoline,11.2,8.1,9.8,29.0,229.0
SUBCOMPACT,4.0,8,Premium gasoline,14.0,10.1,12.2,23.0,291.0
SUV - SMALL,2.0,4,Regular gasoline,9.6,7.6,8.7,32.0,202.0
SUV - SMALL,,6,Regular gasoline,12.5,9.6,11.2,25.0,264.0
MID-SIZE,3.6,6,Regular gasoline,13.3,9.2,11.5,25.0,269.0
PICKUP TRUCK - SMALL,4.0,6,Regular gasoline,14.5,11.3,13.1,22.0,301.0
SUBCOMPACT,6.0,12,Premium gasoline,16.7,10.9,14.1,20.0,331.0
PICKUP TRUCK - STANDARD,5.6,8,Premium gasoline,15.1,11.2,13.3,21.0,313.0
SPECIAL PURPOSE VEHICLE,3.7,6,Regular gasoline,14.0,9.9,12.2,23.0,281.0
TWO-SEATER,6.5,12,Premium gasoline,23.9,14.5,19.7,14.0,461.0
COMPACT,1.8,4,Regular gasoline,9.0,6.8,8.0,35.0,184.0
PICKUP TRUCK - STANDARD,4.6,8,Regular gasoline,15.9,12.3,14.3,20.0,335.0
SUV - SMALL,2.5,4,Regular gasoline,9.3,7.1,8.3,34.0,194.0
STATION WAGON - SMALL,1.8,4,Regular gasoline,8.8,7.5,8.2,34.0,193.0
SUV - STANDARD,3.5,6,Regular gasoline,13.0,9.7,11.5,25.0,264.0
MID-SIZE,3.0,6,Premium gasoline,13.8,9.4,11.8,24.0,276.0
MID-SIZE,3.5,6,Premium gasoline,11.1,7.8,9.6,29.0,225.0
SUV - SMALL,3.2,6,Regular gasoline,12.9,9.9,11.6,24.0,269.0
SUV - STANDARD,5.0,8,Ethanol (E85),24.0,16.6,20.7,14.0,331.0
MID-SIZE,2.0,4,Regular gasoline,4.7,5.3,5.0,56.0,115.0
SUV - SMALL,3.5,6,Regular gasoline,13.8,9.7,12.0,24.0,276.0
